Fila,Nombre,Tipo,Coordenadas
1479,Kinesióloga Dra. Luz Enna Díaz Rodríguez,UBICACION_COMPARTIDA,"-32.4872392, -58.2443123"
72,Uruguay Repuestos,UBICACION_COMPARTIDA,"-32.4869405, -58.2441804"
1435,Centinela SRL,UBICACION_COMPARTIDA,"-32.4868308, -58.2438715"
948,Vivero Esquina Jardín,UBICACION_COMPARTIDA,"-32.48677, -58.24326"
1330,Esquina Jardín,UBICACION_COMPARTIDA,"-32.48677, -58.2432641"
1480,Motum - Kinesiología y Rehabilitación Deportiva,UBICACION_COMPARTIDA,"-32.4871232, -58.2384805"
1495,Osteopatía - Lic. Daniela Muchiutti,UBICACION_COMPARTIDA,"-32.4871141, -58.2384762"
1306,Tapicería 224,UBICACION_COMPARTIDA,"-32.4870981, -58.2378643"
1522,ATENEA Training,UBICACION_COMPARTIDA,"-32.487064, -58.238024"
302,INBICU Laboratory - Institute Biochemist,UBICACION_COMPARTIDA,"-32.48719, -58.2347"
382,Centro de Kinesiología y Gimnasio,UBICACION_COMPARTIDA,"-32.48676, -58.2344"
115,Dog Center Pet Shop,UBICACION_COMPARTIDA,"-32.48714, -58.23344"
176,Mamma Mia,UBICACION_COMPARTIDA,"-32.48724, -58.2333"
379,Centro de Kinesiología y Pilates,UBICACION_COMPARTIDA,"-32.48695, -58.23334"
869,Concepción Viajes y Turismo,UBICACION_COMPARTIDA,"-32.48713, -58.23326"
950,Byggvir,UBICACION_COMPARTIDA,"-32.48707, -58.23345"
770,Walquiria Michel,UBICACION_COMPARTIDA,"-32.48675, -58.23143"
1460,Gianello - Nicolás Gianello Psiquiatría,UBICACION_COMPARTIDA,"-32.4867522, -58.2314252"
1461,FemCare,UBICACION_COMPARTIDA,"-32.4867693, -58.2313798"
794,BodyFree Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.48705, -58.2307"
1144,Renovatio Estética Profesional,UBICACION_COMPARTIDA,"-32.4870655, -58.2307189"
784,Vollaro Repuestos,UBICACION_COMPARTIDA,"-32.48659, -58.24989"
